col1 col2 col3
2452125.56972 18.294 0.055
2452129.65154 18.32 0.03
2452132.59405 18.252 0.037
2452140.694 18.32 0.042
2452144.57615 18.372 0.041
2452160.56303 18.424 0.053
2452168.6308 18.368 0.053
2452187.5399 18.396 0.053
2452331.87611 18.301 0.04
2452345.90457 18.333 0.044
2452355.85051 18.331 0.034
2452364.908 18.39 0.045
2452372.80867 18.366 0.031
2452403.86329 18.308 0.031
2452411.81189 18.326 0.034
2452414.74352 18.385 0.036
2452416.78196 18.293 0.036
2452428.77677 18.28 0.04
2452432.82127 18.379 0.05
2452434.68716 18.337 0.036
2452436.73548 18.308 0.036
2452438.713 18.327 0.038
2452440.74301 18.399 0.036
2452443.71591 18.345 0.043
2452445.59686 18.316 0.033
2452446.69492 18.397 0.037
2452448.58942 18.345 0.083
2452453.83656 18.385 0.044
2452456.54806 18.359 0.043
2452458.685 18.332 0.034
2452460.75735 18.369 0.05
2452463.50654 18.337 0.041
2452468.58551 18.288 0.027
2452470.58877 18.405 0.041
2452486.67947 18.407 0.061
2452490.64598 18.373 0.048
2452493.60814 18.311 0.039
2452495.67954 18.303 0.035
2452497.7635 18.425 0.047
2452500.49768 18.401 0.046
2452502.53045 18.392 0.035
2452508.62975 18.291 0.039
2452512.57717 18.425 0.047
2452517.61904 18.343 0.033
2452520.54386 18.402 0.04
2452526.63487 18.293 0.036
2452537.61452 18.356 0.062
2452542.48188 18.363 0.06
2452547.54931 18.266 0.043
2452551.58677 18.457 0.067
2452556.54022 18.323 0.046
2452564.4974 18.326 0.054
2452575.49554 18.391 0.057
2452706.88259 18.361 0.035
2452714.86684 18.396 0.037
2452728.89611 18.321 0.047
2452733.87921 18.341 0.041
2452744.867 18.362 0.033
2452753.85264 18.345 0.041
2452756.92204 18.372 0.039
2452760.86505 18.289 0.042
2452766.91817 18.344 0.043
2452770.78897 18.359 0.046
2452783.73355 18.284 0.03
2452785.83847 18.335 0.047
2452786.89892 18.328 0.049
2452789.70912 18.382 0.034
2452791.68833 18.382 0.035
2452794.89459 18.313 0.04
2452796.77612 18.285 0.031
2452797.93877 18.474 0.049
2452809.68224 18.279 0.035
2452810.84912 18.317 0.04
2452811.88088 18.358 0.046
2452813.67766 18.358 0.043
2452814.6999 18.335 0.035
2452816.56295 18.316 0.036
2452818.55045 18.266 0.043
2452820.70902 18.366 0.039
2452826.71602 18.376 0.037
2452836.69696 18.315 0.056
2452837.59423 18.322 0.06
2452839.64243 18.414 0.051
2452841.65581 18.363 0.04
2452843.58859 18.231 0.041
2452845.6167 18.333 0.044
2452849.79605 18.275 0.061
2452849.80232 18.397 0.07
2452852.50526 18.304 0.044
2452852.51833 18.299 0.047
2452852.56435 18.406 0.06
2452854.48721 18.386 0.055
2452856.68024 18.426 0.049
2452858.64561 18.277 0.045
2452862.57218 18.354 0.049
2452865.68149 18.368 0.038
2452868.56125 18.351 0.034
2452871.6685 18.318 0.033
2452876.55206 18.304 0.038
2452879.59624 18.188 0.034
2452894.59895 18.421 0.05
2452898.5838 18.314 0.044
2452904.55661 18.348 0.047
2452909.55112 18.313 0.044
2452917.59106 18.384 0.049
2452930.53369 18.322 0.041
2453058.86228 18.299 0.033
2453062.89719 18.279 0.028
2453063.88592 18.342 0.035
2453070.82072 18.373 0.053
2453072.89954 18.291 0.03
2453075.81908 18.308 0.041
2453079.85289 18.376 0.046
2453082.81575 18.253 0.031
2453084.87134 18.269 0.028
2453086.80536 18.278 0.028
2453088.76236 18.241 0.031
2453089.87232 18.253 0.028
2453091.7895 18.246 0.033
2453096.82701 18.251 0.043
2453098.87083 18.193 0.026
2453100.8248 18.232 0.032
2453102.78756 18.1 0.032
2453103.86143 18.24 0.035
2453106.79584 18.233 0.052
2453108.73345 18.102 0.026
2453109.76002 18.099 0.027
2453110.79951 18.103 0.03
2453111.83352 18.106 0.029
2453112.80681 18.128 0.028
2453113.84064 18.109 0.026
2453114.75079 18.042 0.023
2453118.89483 18.027 0.032
2453122.87832 18.024 0.04
2453125.8349 17.967 0.035
2453126.8642 17.88 0.027
2453127.76975 17.907 0.027
2453128.78815 17.848 0.023
2453129.76283 17.891 0.028
2453131.65044 17.868 0.043
2453134.73061 17.743 0.046
2453134.84788 17.895 0.036
2453135.831 17.875 0.023
2453137.90663 18.054 0.038
2453138.79086 17.89 0.023
2453139.83504 17.921 0.023
2453140.84243 17.961 0.028
2453142.73461 17.835 0.022
2453144.75523 17.949 0.025
2453146.72877 17.961 0.027
2453151.71748 18.205 0.047
2453152.72125 18.121 0.03
2453152.93461 18.081 0.048
2453153.72521 18.032 0.037
2453154.78617 18.099 0.036
2453156.76872 18.206 0.042
2453158.83929 18.206 0.049
2453162.7802 18.07 0.035
2453163.74153 18.054 0.028
2453164.69979 18.233 0.032
