event_id,year,final_loss,fit_t0,fit_tE,fit_u0,fit_fbl,fit_I0,true_Tmax,true_tau,true_umin,true_fbl,true_I_bl
2011_0133,2011,0.007487421855330467,2455644.0,33.98767852783203,0.06822988390922546,0.34473809599876404,19.201221466064453,2455644.431,29.016,0.084,0.441,19.185
2011_0135,2011,0.021850403398275375,2455707.75,0.636222779750824,1.6724122762680054,0.6236840486526489,18.820602416992188,2455642.306,18.739,0.261,0.314,18.743
2011_0153,2011,0.00010207379818893969,2455662.75,28.268327713012695,0.44044941663742065,0.8751898407936096,13.712973594665527,2455663.22,27.975,0.434,0.857,13.714
2011_0164,2011,0.012179730460047722,2455640.75,8.876127243041992,0.09233001619577408,0.47108733654022217,19.487268447875977,2455640.396,15.964,0.0,0.116,19.454
2011_0199,2011,0.04227859154343605,2455656.0,9.839187622070312,0.015320315957069397,0.994239091873169,19.56366729736328,2455655.896,10.014,0.015,0.707,19.461
2011_0231,2011,0.0019096267642453313,2455681.5,20.112213134765625,0.7561514973640442,0.8324332237243652,18.368473052978516,2455681.393,33.927,0.376,0.284,18.385
2011_0234,2011,0.0051444764249026775,2455660.75,7.4472150802612305,0.2869533896446228,0.40314117074012756,18.805124282836914,2455660.989,7.206,0.277,0.344,18.733
2011_0288,2011,4.182025440968573e-05,2455682.75,6.574583530426025,1.166616439819336,0.7583734393119812,15.948822021484375,2455682.982,7.09,1.025,0.563,15.946
2011_0296,2011,0.00022538608754985034,2455676.5,6.422012805938721,1.4157609939575195,0.7251024842262268,16.868947982788086,2455677.042,19.651,0.294,0.051,16.879
2011_0305,2011,0.0026828532572835684,2455702.75,62.00342559814453,0.06963571906089783,0.15600688755512238,18.847190856933594,2455703.69,40.268,0.124,0.276,18.811
2011_0329,2011,0.0227710772305727,2455691.75,7.833262920379639,0.010883220471441746,0.98484206199646,19.02593994140625,2455691.899,12.076,0.004,0.718,19.182
2011_0331,2011,0.00840699765831232,2455746.5,0.6587433218955994,1.656363606452942,0.6698722839355469,19.24979591369629,2455697.439,51.957,0.434,0.312,19.279
2011_0335,2011,0.003520524362102151,2455687.75,15.063904762268066,0.10724861174821854,0.1769723743200302,18.786134719848633,2455687.076,10.969,0.123,0.16,18.719
2011_0341,2011,0.0008192180539481342,2455803.75,67.64664459228516,0.6144622564315796,0.9105934500694275,18.11273956298828,2455799.32,115.162,0.272,0.293,18.138
2011_0344,2011,0.004518936388194561,2455734.75,120.70738220214844,0.0784660279750824,0.17371372878551483,18.659748077392578,2455736.677,81.461,0.152,0.338,18.64
